% LIST OF CONTRASTS & CONCESSIONS IN THE CORPUS %
Marker	Contrast/Concession	QUD_Structure	Anaphoric/Cataphoric	Example
aber	Contrast	Coordinate	NA	Die sind zwar perfekt verarbeitet, fühlen sich aber nicht so hochwertig an wie sonst üblich und holen einen schnell in die plastikharte Kleinwagen-Realität zurück.
aber	Contrast	Coordinate	NA	Fakt aber ist: Wer sich für den A1 40 TFSI entscheidet, sollte das monatliche Tankbudget aufstocken.
aber	Concession	Subordinate	Anaphoric	Für die Fahrt abseits der Straße gibt es zusätzlich eine Achssperre hinten, eine Geländereduktion und vier Modi, welche die für die Straße wählbaren Programme Normal und Sport ergänzen, aber leider erst auf Knopfdruck im Display angezeigt werden: Gras/Schotter/Schnee, Schlamm/Sand, Fels und Baja.
aber	Contrast	Coordinate	NA	Vorn sitzen die Passagiere ausgezeichnet, aber wer auf der Rücksitzbank Platz nehmen muss, ärgert sich über den klassenüblich knappen Beinraum der Doppelkabiner – sonst bliebe für die Ladefläche noch weniger übrig als 156 × 157 Zentimeter.
aber	Concession	Subordinate	Anaphoric	Der Raptor braucht die Hälfte mehr Zylinder und Hubraum, denn die Konkurrenz von Volkswagen und Mercedes kommt mit wuchtigen Sechszylindern daher, und beide laufen mit rund 200 km/h deutlich schneller als die 170, die Ford dem Raptor zugesteht – nicht, dass man das brauchte, aber wenn das Auto schon als Spaßmobil angeboten wird, fehlt gegenüber den anderen etwas.
aber	Concession	Subordinate	Anaphoric	Die für Letztere erhältliche Option des elektronischen Fahrwerks (1600 Euro extra) geht noch feinfühliger zur Sache, aber der Unterschied wird nicht für jedermann erfahrbar sein.
aber	Concession	Subordinate	Anaphoric	Dank Erfüllung sämtlicher Euro-5-Vorgaben und eines speziellen Ventils im Schalldämpfer klingt die Honda nach wie vor gut, ist aber nicht mehr so prollig laut wie die alte Adventure Sports.
aber	Concession	Subordinate	Cataphoric	Die Doppelstrategie ist aber gar nicht dumm, weil der Fahrer auf diese Weise sein spezielles Asphalt-Programm und ein ebenso spezielles Offroad-Programm hinterlegen kann.
aber	Contrast	Coordinate	NA	Beide haben sehr üppige Federwege, sinnvolle Reifendimensionierungen auch für Offroad-Fahrten und sind zudem etwas leichter geworden, auch wenn das Ausstattungsplus gewichtstreibend wirkt: 250 Extra-Kilo gibt Honda für die Sport Adventure mit allem, aber noch ohne Gepäcksystem an.
aber	Concession	Subordinate	Anaphoric	Das ist aber auch schon die einzige Kritik an diesem sonst ansehnlichen Motorrad.
aber	Contrast	Coordinate	NA	Wichtiger aber noch ist die Schlankheitskur, die der CB 1000 R widerfuhr.
aber	Contrast	Coordinate	NA	Das macht sich auf ebenen Landstraßen kaum bemerkbar, könnte aber bergauf und nach engen Kehren – etwa in den Bergen – durchaus spürbar werden. 
aber	Contrast	Coordinate	NA	Dann liegt man bei 14.495 Euro, bekommt dafür aber ein wertiges, schickes und stilvolles Fahrgerät für fast alle Lebenslagen. 
aber	Contrast	Coordinate	NA	Nicht, dass der Ioniq schlecht verarbeitet wäre, aber die Architektur mutet für hiesige Verhältnisse doch eine Spur zu trist an.
aber	Contrast	Coordinate	NA	Aber so ganz elektrisiert ist der Fahrer erstmal nicht.
aber	Contrast	Coordinate	NA	Aber der Boost ist nicht das einzige variable Element beim iPace. Neben der mechanischen Verstellung des Rennfahrwerks bietet er mit seinem halben Dutzend Drehschaltern am Lenkrad obendrein ein paar elektronische Spielereien, die es so nur beim Elektroauto gibt. 
aber	Concession	Subordinate	Anaphoric	Aber dennoch zeigte sich auf den mehr als 400 zurückgelegten Kilometern, dass die neueste Auflage der Versys 1000: eine Art Allzweckwaffe geworden ist:
aber	Concession	Subordinate	Anaphoric	Aber beim Fahren animiert die Tausender durchaus zu flotter Gangart, sodass die serienmäßige Schräglagenanzeige im Cockpit gerne Werte jenseits der 40 Grad auflistet.
aber	Contrast	Coordinate	NA	Zum anderen aber, weil der RX auch trotz neu abgestimmter Dämpfer, optimierter Stabilisatoren und höherer Karosseriesteifigkeit, die vor allem durch zusätzliche Schweißpunkte und mehr Klebeverbindungen realisiert wurde, noch immer kein Sportwagen ist, der sich mit Lust und Laune in die Kurve stürzt. 
